scientificName,decimalLatitude,decimalLongitude,eventDate,datasetKey
"Cyanistes caeruleus (Linnaeus, 1758)",52.666199,-2.46377,2023-01-24T13:50:06.892Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Columba palumbus Linnaeus, 1758",52.699772,-2.636389,2023-01-21T16:11:53.236Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Turdus merula Linnaeus, 1758",52.666138,-2.463771,2023-01-22T09:25:17.823Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Passer domesticus (Linnaeus, 1758)",52.666199,-2.4638,2023-01-02T14:15:56.031Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Periparus ater (Linnaeus, 1758)",52.818611,-2.316976,2023-01-26T14:55:20.014Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Streptopelia decaocto (Frivaldszky, 1838)",52.666199,-2.463808,2023-01-22T10:03:41.008Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Pica pica (Linnaeus, 1758)",52.666321,-2.463696,2023-01-24T16:05:05.978Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Aegithalos caudatus (Linnaeus, 1758)",52.666199,-2.463804,2023-01-02T13:13:26.306Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Parus major Linnaeus, 1758",52.666199,-2.463717,2023-01-22T10:51:42.291Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Columba palumbus Linnaeus, 1758",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Rissa tridactyla (Linnaeus, 1758)",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Cygnus olor (J.F.Gmelin, 1789)",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Anas platyrhynchos Linnaeus, 1758",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Podiceps cristatus (Linnaeus, 1758)",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
